Manufacturer Name,Model Number,Technology,Energy_Capacity_kWh,Max_Continuous_Discharge_kW,C_Rate,Certificate Date (mm/dd/yyyy)
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/345.6V-E10,LiFePO4,51.147,25.5735,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/345.6V-E15,LiFePO4,51.147,25.5735,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/345.6V-J10,LiFePO4,51.15,51.15,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/345.6V-L10,LiFePO4,51.15,51.15,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/345.6V-L15,LiFePO4,51.15,51.15,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/352V-J10,LiFePO4,52.1,52.1,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/352V-L10,LiFePO4,52.1,52.1,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/384V-J10,LiFePO4,56.83,56.83,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/384V-L10,LiFePO4,56.83,56.83,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/384V-E10,LiFePO4,56.83,28.415,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/384V-E15,LiFePO4,56.83,28.415,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/384V-J10,LiFePO4,56.83,56.83,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/384V-L10,LiFePO4,56.83,56.83,1.00,01/12/2022
